model_name,metric_name,metric_value,split,run_timestamp
LightGBM_HNSC,recall_low_risk,0.8709677419354839,test,2026-05-11T00:04:41
LightGBM_HNSC,f1_low_risk,0.8307692307692308,test,2026-05-11T00:04:41
LightGBM_KIRC,accuracy,0.8085106382978723,test,2026-05-11T00:04:41
LightGBM_KIRC,balanced_accuracy,0.6362179487179487,test,2026-05-11T00:04:41
LightGBM_KIRC,precision_high_risk,0.42857142857142855,test,2026-05-11T00:04:41
LightGBM_KIRC,recall_high_risk,0.375,test,2026-05-11T00:04:41
LightGBM_KIRC,f1_high_risk,0.39999999999999997,test,2026-05-11T00:04:41
LightGBM_KIRC,precision_low_risk,0.875,test,2026-05-11T00:04:41
LightGBM_KIRC,recall_low_risk,0.8974358974358975,test,2026-05-11T00:04:41
LightGBM_KIRC,f1_low_risk,0.8860759493670887,test,2026-05-11T00:04:41
LightGBM_LUAD,accuracy,0.5945945945945946,test,2026-05-11T00:04:41
LightGBM_LUAD,balanced_accuracy,0.4388888888888889,test,2026-05-11T00:04:41
LightGBM_LUAD,precision_high_risk,0.14285714285714285,test,2026-05-11T00:04:41
LightGBM_LUAD,recall_high_risk,0.1,test,2026-05-11T00:04:41
LightGBM_LUAD,f1_high_risk,0.11764705882352941,test,2026-05-11T00:04:41
LightGBM_LUAD,precision_low_risk,0.7,test,2026-05-11T00:04:41
LightGBM_LUAD,recall_low_risk,0.7777777777777778,test,2026-05-11T00:04:41
LightGBM_LUAD,f1_low_risk,0.7368421052631577,test,2026-05-11T00:04:41
LightGBM_BLCA,accuracy,0.6857142857142857,test,2026-05-11T00:04:41
LightGBM_BLCA,balanced_accuracy,0.48842592592592593,test,2026-05-11T00:04:41
LightGBM_BLCA,precision_high_risk,0.2,test,2026-05-11T00:04:41
LightGBM_BLCA,recall_high_risk,0.125,test,2026-05-11T00:04:41
LightGBM_BLCA,f1_high_risk,0.15384615384615385,test,2026-05-11T00:04:41
LightGBM_BLCA,precision_low_risk,0.7666666666666667,test,2026-05-11T00:04:41
LightGBM_BLCA,recall_low_risk,0.8518518518518519,test,2026-05-11T00:04:41
LightGBM_BLCA,f1_low_risk,0.8070175438596491,test,2026-05-11T00:04:41
